,de,es,hu,bg,lv
Accuracy,0.7156285714285714,0.804878629791086,0.7394149659863946,0.7669057621048019,0.7469542640303575
Micro-f1,0.7156285714285714,0.804878629791086,0.7394149659863946,0.7669057621048019,0.7469542640303575
Weighted-f1,0.7360336307305329,0.8164048200063098,0.7615262780655934,0.7778510625575128,0.7669451294665196
Macro-f1,0.5759865886507993,0.7002952178053128,0.6261767196843528,0.6293215284070768,0.6316083231848113
